GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
"G24000100001001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Allegany County, Maryland",587,"Block Group 1, Census Tract 1, Allegany County, Maryland",175
"G24000100001002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Allegany County, Maryland",1998,"Block Group 2, Census Tract 1, Allegany County, Maryland",247
"G24000100001003","2014-2018",,,"Maryland","24","Allegany County","001",,,"000100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1, Allegany County, Maryland",1080,"Block Group 3, Census Tract 1, Allegany County, Maryland",228
"G24000100002001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Allegany County, Maryland",696,"Block Group 1, Census Tract 2, Allegany County, Maryland",191
"G24000100002002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Allegany County, Maryland",1106,"Block Group 2, Census Tract 2, Allegany County, Maryland",179
"G24000100002003","2014-2018",,,"Maryland","24","Allegany County","001",,,"000200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2, Allegany County, Maryland",2114,"Block Group 3, Census Tract 2, Allegany County, Maryland",233
"G24000100003001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Allegany County, Maryland",1380,"Block Group 1, Census Tract 3, Allegany County, Maryland",262
"G24000100003002","2014-2018",,,"Maryland","24","Allegany County","001",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Allegany County, Maryland",586,"Block Group 2, Census Tract 3, Allegany County, Maryland",202
"G24000100003003","2014-2018",,,"Maryland","24","Allegany County","001",,,"000300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3, Allegany County, Maryland",770,"Block Group 3, Census Tract 3, Allegany County, Maryland",173
"G24000100004001","2014-2018",,,"Maryland","24","Allegany County","001",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4, Allegany County, Maryland",722,"Block Group 1, Census Tract 4, Allegany County, Maryland",199
